instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,depth,fullOB,1,5,0.330944,1910,0.0019983,0.286732,0.0161903,315,2,20,11.9317,146,5,10,0.0001841,0.0003969,0.316258,0.0003565,0.007363,2.98e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,breadth,noOB,1,5,0.386889,2135,0.0025095,0.333565,0.0208309,295,2,21,12.25,80,7,61,0.0001478,0.0004234,0.369336,5.02e-05,0.0073118,5.62e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,breadth,coneOB,1,5,0.269041,1425,0.0027098,0.226632,0.0133107,229,2,19,11.2696,98,2,15,0.0001535,0.0003057,0.252062,3.79e-05,0.0067611,4.91e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-10.dat,3,10,WLP,breadth,fullOB,1,5,0.260659,1425,0.0022448,0.223866,0.0136313,231,2,19,11.3333,100,2,15,0.0001313,0.0002814,0.248632,0.0001538,0.0051551,4.95e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,depth,noOB,1,9,1.34483,9640,0.23957,1.01462,0.0408401,875,3,23,13.0776,290,32,116,0.0003277,0.0010754,1.32885,0.0001173,0.0031993,7.19e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,depth,coneOB,1,9,1.13901,7790,0.210232,0.85285,0.0332996,867,3,23,13.0069,395,15,24,0.0004831,0.0009605,1.12586,0.0001471,0.0033377,7.34e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,depth,fullOB,1,9,1.09706,7742,0.202593,0.816707,0.0320001,909,3,23,12.9464,433,15,18,0.0004668,0.00097,1.08076,0.0012023,0.0034307,7.4e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,breadth,noOB,1,9,1.22135,8514,0.208454,0.936546,0.037508,731,3,21,11.6612,243,11,112,0.000227,0.0007204,1.20927,0.0001182,0.0026374,9.45e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,breadth,coneOB,1,9,1.07121,7031,0.187409,0.812199,0.0316546,697,3,19,11.3639,289,5,55,0.0002934,0.0005883,1.05606,7.06e-05,0.0024041,7.05e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,LP,breadth,fullOB,1,9,1.04373,6954,0.179174,0.797223,0.0309647,703,3,19,11.3511,298,5,53,0.0002523,0.0005998,1.03187,0.0002319,0.0024841,7.19e-05
