instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-5_n-10_m-5_ins-4.dat,5,10,LP,breadth,noOB,mofv,1,167,11.984,62673,0.798137,7.00908,3.94517,2141,2,22,15.3305,729,218,124,0.0183146,0.0292493,11.8741,0.0003596,0.0088703,0.0002945
Kirlik14-ILP_p-5_n-10_m-5_ins-4.dat,5,10,WLP,breadth,noOB,med,1,167,8.21146,35838,0.0040355,4.48404,3.23159,2973,3,19,13.2636,1120,252,115,0.0201586,0.0383024,7.83904,0.0004946,0.213704,0.0007579
Kirlik14-ILP_p-5_n-10_m-5_ins-4.dat,5,10,WLP,breadth,noOB,mofv,1,167,9.70555,33980,0.0021245,4.40739,4.82318,2141,2,22,15.3305,729,218,124,0.0294684,0.0282221,9.33568,0.0003713,0.214178,0.0005256
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,LP,breadth,noOB,med,1,473,28.1639,173587,2.86049,17.8249,6.54253,7429,4,24,14.8991,2223,1029,463,0.190043,0.21789,27.5891,0.0012391,0.0276382,0.0011559
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,LP,breadth,noOB,mofv,1,473,20.2482,128646,2.38181,12.7396,4.35749,5801,3,27,16.5636,1381,1152,368,0.164962,0.213206,19.7473,0.0009591,0.0209142,0.0008571
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,WLP,breadth,noOB,med,1,473,22.3293,91900,0.0020065,12.6239,8.18313,7387,4,24,14.9031,2203,1024,467,0.227078,0.223347,21.1126,0.0012696,0.526625,0.0019013
Kirlik14-ILP_p-5_n-10_m-5_ins-5.dat,5,10,WLP,breadth,noOB,mofv,1,473,14.7449,64058,0.0018844,7.87725,5.70812,5819,3,27,16.5948,1388,1155,367,0.18047,0.20479,13.811,0.0010116,0.377829,0.0013941
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,LP,breadth,noOB,med,1,55,3.56944,24166,0.457489,2.39639,0.630986,1231,3,19,12.4513,421,84,111,0.0031826,0.0054324,3.53666,0.0001847,0.0039468,0.000151
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,LP,breadth,noOB,mofv,1,55,3.61233,23768,0.425857,2.41762,0.684993,1129,2,20,12.885,378,79,108,0.0032394,0.0050437,3.57909,0.0001799,0.0037308,0.0001322
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,WLP,breadth,noOB,med,1,55,2.82593,14300,0.001842,1.77574,0.895176,1231,3,19,12.4513,421,84,111,0.0038538,0.0054024,2.71993,0.0001675,0.0630597,0.0002759
Kirlik14-ILP_p-5_n-10_m-5_ins-6.dat,5,10,WLP,breadth,noOB,mofv,1,55,2.82082,13912,0.0018253,1.7297,0.935562,1129,2,20,12.885,378,79,108,0.0037476,0.0053847,2.71202,0.0001774,0.0661494,0.000255
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,LP,breadth,noOB,med,1,22,2.45125,13193,0.163193,1.52624,0.719363,431,3,15,10.5602,148,28,40,0.0006387,0.0014305,2.43503,6.93e-05,0.0018292,4.32e-05
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,LP,breadth,noOB,mofv,1,22,2.24337,12188,0.150115,1.39171,0.662476,393,3,16,10.8832,129,26,42,0.0006407,0.0014516,2.22816,6.26e-05,0.0015485,4.12e-05
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,WLP,breadth,noOB,med,1,22,2.23829,8830,0.0020686,1.15147,0.995967,431,3,15,10.5602,148,28,40,0.0010545,0.0014154,2.17332,8.59e-05,0.042226,9.47e-05
Kirlik14-ILP_p-5_n-10_m-5_ins-7.dat,5,10,WLP,breadth,noOB,mofv,1,22,2.11784,8095,0.0020325,1.09729,0.934318,393,3,16,10.8832,129,26,42,0.0009853,0.0012875,2.05733,6.68e-05,0.0395334,0.000104
Kirlik14-ILP_p-5_n-10_m-5_ins-8.dat,5,10,LP,breadth,noOB,med,1,52,10.703,54727,0.622772,6.44328,3.46292,1609,3,19,12.6062,537,105,163,0.0076441,0.0093403,10.6333,0.0002566,0.0070742,0.0002408
Kirlik14-ILP_p-5_n-10_m-5_ins-8.dat,5,10,LP,breadth,noOB,mofv,1,52,11.4851,54011,0.537571,6.49458,4.28473,1371,1,22,14.5933,445,85,156,0.0069487,0.0079243,11.417,0.0002239,0.0063086,0.000204
Kirlik14-ILP_p-5_n-10_m-5_ins-8.dat,5,10,WLP,breadth,noOB,med,1,52,9.74211,33721,0.0045143,4.47484,4.88426,1611,3,19,12.6079,538,105,163,0.0104211,0.00967,9.45588,0.0002896,0.182818,0.0004548
Kirlik14-ILP_p-5_n-10_m-5_ins-8.dat,5,10,WLP,breadth,noOB,mofv,1,52,11.0201,33928,0.0045228,4.57841,6.05974,1371,1,22,14.5933,445,85,156,0.0097717,0.0073542,10.7303,0.0002356,0.191311,0.0003897
Kirlik14-ILP_p-5_n-10_m-5_ins-9.dat,5,10,LP,breadth,noOB,med,1,12,1.44455,8610,0.131186,0.949613,0.334504,377,3,13,9.77778,152,23,14,0.0002225,0.0011607,1.43322,5.27e-05,0.001285,3.88e-05
Kirlik14-ILP_p-5_n-10_m-5_ins-9.dat,5,10,LP,breadth,noOB,mofv,1,12,1.19629,7002,0.108046,0.781031,0.282752,299,3,15,10.2867,112,25,13,0.0002599,0.000816,1.18653,4.17e-05,0.0009893,2.62e-05
Kirlik14-ILP_p-5_n-10_m-5_ins-9.dat,5,10,WLP,breadth,noOB,med,1,12,1.02106,4523,0.0027172,0.597684,0.363477,377,3,13,9.77778,152,23,14,0.000355,0.0010446,0.978768,5.6e-05,0.0261735,7.36e-05
Kirlik14-ILP_p-5_n-10_m-5_ins-9.dat,5,10,WLP,breadth,noOB,mofv,1,12,0.871676,3815,0.0041184,0.50074,0.318555,299,3,15,10.2867,112,25,13,0.0003027,0.0007935,0.83585,4.79e-05,0.0220329,5.92e-05
Kirlik14-ILP_p-5_n-20_m-10_ins-1.dat,5,20,LP,breadth,noOB,med,0,73,3600.03,9115300,36.3152,1495.07,2036.09,55146,6,19,17.0059,13008,61,8507,1.24726,0.601684,3586.46,0.0168961,1.13178,0.0189678
Kirlik14-ILP_p-5_n-20_m-10_ins-1.dat,5,20,LP,breadth,noOB,mofv,0,74,3600.03,9034013,37.0735,1511.78,2018.91,56309,5,22,18.6922,13997,69,8403,1.22436,0.594462,3586.8,0.0172175,1.04912,0.0187307
Kirlik14-ILP_p-5_n-20_m-10_ins-1.dat,5,20,WLP,breadth,noOB,med,0,66,3600.32,5756707,0.0559189,1045.92,2478.87,46076,6,19,16.382,10621,50,5754,1.21265,0.584687,3546.23,0.0150497,33.6699,4.8971
Kirlik14-ILP_p-5_n-20_m-10_ins-1.dat,5,20,WLP,breadth,noOB,mofv,0,12,4383.34,1322005,0.0145027,250.606,4118.99,8076,5,15,13.0657,1940,4,325,0.0665659,0.11751,4373.21,0.0029603,7.69574,0.0041783
Kirlik14-ILP_p-5_n-20_m-10_ins-10.dat,5,20,LP,breadth,noOB,med,0,150,3600.02,8990095,31.386,1536.29,1999.98,48472,6,18,16.1622,12426,65,2884,1.29708,0.602763,3586.33,0.0173592,1.19323,0.0193473
Kirlik14-ILP_p-5_n-20_m-10_ins-10.dat,5,20,LP,breadth,noOB,mofv,0,172,3600.01,8536680,26.737,1437.83,2105.01,44430,3,22,19.0917,12965,77,2732,1.16712,0.601722,3587.16,0.014937,1.04838,0.0147779
Kirlik14-ILP_p-5_n-20_m-10_ins-10.dat,5,20,WLP,breadth,noOB,med,0,154,3600.03,5855839,0.0523465,1021.92,2484.58,51216,6,18,16.2951,13435,74,3123,2.35181,0.696219,3530.69,0.018752,39.3238,6.39071
Kirlik14-ILP_p-5_n-20_m-10_ins-10.dat,5,20,WLP,breadth,noOB,mofv,0,172,3600.24,5415879,0.0865505,935.593,2588.16,43588,3,22,19.0271,12702,74,2670,1.8573,0.654034,3542.06,0.0152656,37.0821,2.62194
Kirlik14-ILP_p-5_n-20_m-10_ins-2.dat,5,20,LP,breadth,noOB,med,1,253,615.98,1835130,11.1766,282.945,314.893,25693,3,30,18.9842,10145,471,2231,0.416223,0.205486,613.248,0.0056885,0.231059,0.005828
Kirlik14-ILP_p-5_n-20_m-10_ins-2.dat,5,20,LP,breadth,noOB,mofv,1,253,545.973,1553352,8.28215,243.533,288.403,18773,3,31,19.9247,7298,423,1666,0.317732,0.167655,543.725,0.0042193,0.179855,0.0043588
Kirlik14-ILP_p-5_n-20_m-10_ins-2.dat,5,20,WLP,breadth,noOB,med,1,253,550.442,984843,0.0209911,167.388,369.06,25679,3,30,18.9808,10146,471,2223,0.544201,0.216639,539.719,0.0056383,6.73503,0.0113623
Kirlik14-ILP_p-5_n-20_m-10_ins-2.dat,5,20,WLP,breadth,noOB,mofv,1,253,509.807,866704,0.0154179,145.376,352.172,18769,3,31,19.9221,7299,423,1663,0.431627,0.173491,500.337,0.004111,6.12346,0.0085993
Kirlik14-ILP_p-5_n-20_m-10_ins-3.dat,5,20,LP,breadth,noOB,med,0,173,3600.13,10006961,39.5225,1531.52,1992.11,64664,6,19,16.4434,13631,134,9763,2.78245,0.653399,3583.95,0.0214872,1.18212,0.021535
Kirlik14-ILP_p-5_n-20_m-10_ins-3.dat,5,20,LP,breadth,noOB,mofv,0,162,3600.17,8982879,29.5762,1397.83,2143.61,48482,6,20,16.8599,11246,89,6801,1.42099,0.594603,3588.25,0.0124937,0.95929,0.0143269
Kirlik14-ILP_p-5_n-20_m-10_ins-3.dat,5,20,WLP,breadth,noOB,med,0,173,3600.04,6406216,0.0537597,1243.54,2280.14,64770,6,19,16.4485,13639,133,9783,4.44623,0.711169,3543.57,0.019165,33.5961,2.99804
Kirlik14-ILP_p-5_n-20_m-10_ins-3.dat,5,20,WLP,breadth,noOB,mofv,0,145,3600.2,5483540,0.0664273,932.71,2602.42,43922,6,19,16.6018,9873,74,6303,2.98813,0.633803,3550.31,0.0144635,33.6807,0.574765
Kirlik14-ILP_p-5_n-20_m-10_ins-4.dat,5,20,LP,breadth,noOB,med,0,301,6879.23,8672974,32.0255,1391.67,5421.99,55956,4,21,17.9903,15922,129,7568,3.96673,0.640636,6863.72,0.0170299,1.00567,0.0181933
Kirlik14-ILP_p-5_n-20_m-10_ins-4.dat,5,20,LP,breadth,noOB,mofv,1,1091,3528.43,10033448,47.1906,1572.93,1860.74,91699,3,42,23.9,29512,1878,14460,11.822,2.11017,3502.29,0.0247393,1.07748,0.0264394
Kirlik14-ILP_p-5_n-20_m-10_ins-4.dat,5,20,WLP,breadth,noOB,med,0,302,3600.14,5486381,0.0803705,1271.46,2261.03,56108,4,21,18,15989,128,7580,6.54301,0.656335,3547.75,0.0171944,32.0634,0.230914
Kirlik14-ILP_p-5_n-20_m-10_ins-4.dat,5,20,WLP,breadth,noOB,mofv,0,416,3600.25,5605410,0.0888772,1346.93,2182.87,64556,3,26,20.8812,19634,191,9877,8.19788,0.815472,3545.55,0.0182476,31.9826,0.110528
Kirlik14-ILP_p-5_n-20_m-10_ins-5.dat,5,20,LP,breadth,noOB,med,0,195,3600.07,9663637,38.6703,1534.21,1991.55,65774,5,20,17.4061,17353,157,7708,2.32331,0.638943,3584.85,0.0211338,1.21233,0.0219838
Kirlik14-ILP_p-5_n-20_m-10_ins-5.dat,5,20,LP,breadth,noOB,mofv,0,240,3600.12,9505560,37.0574,1487.44,2040.7,66654,5,22,18.8367,18845,182,8118,2.61988,0.65986,3584.93,0.0206867,1.09402,0.0219232
Kirlik14-ILP_p-5_n-20_m-10_ins-5.dat,5,20,WLP,breadth,noOB,med,0,172,6924.97,5546931,0.0829081,1008.55,5848.23,57440,5,20,16.9547,14866,130,6484,3.44945,0.61688,6872.73,0.018799,34.5021,0.699114
Kirlik14-ILP_p-5_n-20_m-10_ins-5.dat,5,20,WLP,breadth,noOB,mofv,0,50,5158.54,4701043,0.0299492,656.539,4469.76,16016,5,17,14.4743,3821,29,1187,0.327977,0.241642,5137.98,0.0056954,15.209,0.0471017
Kirlik14-ILP_p-5_n-20_m-10_ins-6.dat,5,20,LP,breadth,noOB,med,1,145,210.131,696952,4.59223,102.217,100.837,11039,5,28,18.2937,4426,298,796,0.12164,0.0776423,209.199,0.0022892,0.0849059,0.0022623
Kirlik14-ILP_p-5_n-20_m-10_ins-6.dat,5,20,LP,breadth,noOB,mofv,1,145,153.114,506704,3.26649,74.2555,73.7729,7557,2,31,20.1188,2864,249,666,0.110756,0.061227,152.406,0.0015812,0.0578937,0.0015174
Kirlik14-ILP_p-5_n-20_m-10_ins-6.dat,5,20,WLP,breadth,noOB,med,1,145,162.235,340253,0.0120355,55.7047,101.558,11049,5,28,18.2927,4431,297,797,0.160109,0.0746567,158.41,0.0021338,2.40875,0.0044761
Kirlik14-ILP_p-5_n-20_m-10_ins-6.dat,5,20,WLP,breadth,noOB,mofv,1,145,128.595,259725,0.0091134,42.1915,82.6303,7701,2,31,20.0514,2934,253,664,0.159252,0.0602365,125.687,0.0015644,1.84034,0.0030041
Kirlik14-ILP_p-5_n-20_m-10_ins-7.dat,5,20,LP,breadth,noOB,med,0,660,3600.03,9729885,45.6759,1531.86,1979.67,94621,5,25,19.4889,33221,211,11549,7.99188,1.24749,3578.58,0.0271873,1.23274,0.0278763
Kirlik14-ILP_p-5_n-20_m-10_ins-7.dat,5,20,LP,breadth,noOB,mofv,1,1043,3196.36,8985879,59.7528,1404.94,1656.97,137019,5,13449,2639.18,55989,1564,10957,38.1415,2.0795,3144.35,0.0676346,1.32747,0.0363616
Kirlik14-ILP_p-5_n-20_m-10_ins-7.dat,5,20,WLP,breadth,noOB,med,0,289,3600.04,5225629,0.0556935,1182.49,2348.61,62256,5,20,17.5118,19691,109,6246,5.30441,0.703187,3546.03,0.0186113,33.7355,0.176588
Kirlik14-ILP_p-5_n-20_m-10_ins-7.dat,5,20,WLP,breadth,noOB,mofv,1,1043,3146.22,4908759,0.0562535,1044.27,2027.29,83125,5,36,22.2106,29057,1541,10965,12.632,2.01239,3086.27,0.0216712,30.2181,0.0889105
Kirlik14-ILP_p-5_n-20_m-10_ins-8.dat,5,20,LP,breadth,noOB,med,1,623,651.409,2072910,14.8817,309.34,317.73,36797,5,30,19.8128,15338,1034,2027,1.54094,0.662653,646.827,0.0080032,0.287992,0.0087218
Kirlik14-ILP_p-5_n-20_m-10_ins-8.dat,5,20,LP,breadth,noOB,mofv,1,623,523.428,1567514,10.3639,235.991,269.987,24747,4,33,21.4893,9925,977,1472,1.18635,0.537509,519.939,0.005251,0.199063,0.0055306
Kirlik14-ILP_p-5_n-20_m-10_ins-8.dat,5,20,WLP,breadth,noOB,med,1,623,570.858,1095814,0.0121708,182.217,370.837,36309,5,30,19.7982,15164,1033,1958,1.7443,0.666671,556.834,0.0077612,7.76407,0.015596
Kirlik14-ILP_p-5_n-20_m-10_ins-8.dat,5,20,WLP,breadth,noOB,mofv,1,623,456.6,845824,0.0162615,131.8,310.906,24855,4,33,21.4837,9980,975,1473,1.46324,0.527616,445.533,0.0056552,6.16845,0.0104222
Kirlik14-ILP_p-5_n-20_m-10_ins-9.dat,5,20,LP,breadth,noOB,med,0,102,3600.03,6441135,13.4024,1169.11,2394.86,19175,5,15,13.7057,4144,30,525,0.340889,0.467738,3590.56,0.0077406,0.874161,0.0064942
Kirlik14-ILP_p-5_n-20_m-10_ins-9.dat,5,20,LP,breadth,noOB,mofv,0,119,3600.3,6306259,12.3814,1082.64,2482.88,19460,4,16,14.4852,4774,44,668,0.427617,0.473178,3590.93,0.0074001,0.817569,0.0067369
Kirlik14-ILP_p-5_n-20_m-10_ins-9.dat,5,20,WLP,breadth,noOB,med,0,80,3600.12,3739199,0.14901,639.139,2904.01,15254,5,15,13.1031,2921,16,370,0.453292,0.491867,3556.44,0.006505,29.7012,2.235
Kirlik14-ILP_p-5_n-20_m-10_ins-9.dat,5,20,WLP,breadth,noOB,mofv,0,101,3600.16,4029716,0.112312,717.665,2824.98,22342,4,18,15.3478,5784,56,899,1.02343,0.499888,3555.41,0.0083981,31.3203,1.08865
